Player Name,Position,Team,Year Born,Minutes,Ninty Minutes,Goals,Assists,xG,npxG,xA,SoT Percentage,Shots,Shots On Target,Key Passes,Final Third Passes,Progressive Passes,Tackles,Tackles Won,Dribbled Past,Pressures,Pressures Success,Blocks,Interceptions,Clearances,Touches Penalty Area,Dribbles Success,Dribbles,Carries Progressive,Carries Final Third,Dispossessed,Receiving Progressive,Fouls Committed,Fouls Drawn,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won Percent,Aerial Duels Total
adam armstrong,"FW,MF",Southampton,1997,1351.0,15.0,0.13,0.13,0.28,0.28,0.11,30.4,0.20400000000000001,0.062000000000000006,0.8,0.8666666666666667,1.6,0.6,0.4,0.3333333333333333,14.933333333333334,4.0,0.6666666666666666,0.6,0.3333333333333333,5.266666666666667,1.1333333333333333,2.3333333333333335,4.066666666666666,1.2,1.6666666666666667,6.8,0.9333333333333333,0.6,3.7333333333333334,0.8,2.466666666666667,24.5,3.2666666666666666
stuart armstrong,MF,Southampton,1992,1383.0,15.4,0.13,0.0,0.18,0.18,0.09,23.7,0.1603896103896104,0.03831168831168831,1.5584415584415585,2.2727272727272725,4.090909090909091,1.5584415584415585,0.9090909090909091,1.2987012987012987,15.779220779220779,5.259740259740259,0.974025974025974,0.8441558441558441,0.8441558441558441,3.3766233766233764,1.6883116883116882,3.5064935064935066,7.207792207792208,2.857142857142857,1.6233766233766234,4.935064935064935,0.6493506493506493,1.2987012987012987,9.025974025974026,0.3246753246753247,1.2987012987012987,20.0,1.6233766233766234
kepa arrizabalaga,GK,Chelsea,1994,360.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.0,0.0,,0.0
harrison ashby,DF,West Ham,2001,7.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,0.0
pierre-emerick aubameyang,FW,Arsenal,1989,1037.0,11.5,0.35,0.09,0.5,0.36,0.07,48.5,0.24869565217391304,0.1208695652173913,0.782608695652174,0.34782608695652173,1.1304347826086956,1.0434782608695652,0.6086956521739131,0.34782608695652173,17.47826086956522,4.608695652173913,1.6521739130434783,0.08695652173913043,0.2608695652173913,4.782608695652174,0.17391304347826086,0.5217391304347826,2.5217391304347827,0.9565217391304348,0.43478260869565216,4.869565217391305,1.565217391304348,1.0434782608695652,3.3043478260869565,2.4347826086956523,2.782608695652174,46.7,5.217391304347826
jordan ayew,FW,Crystal Palace,1991,2019.0,22.4,0.13,0.13,0.17,0.17,0.1,22.9,0.06964285714285715,0.016071428571428573,0.9375000000000001,1.2946428571428572,2.142857142857143,2.3214285714285716,1.517857142857143,0.4910714285714286,22.99107142857143,6.517857142857143,1.6517857142857144,1.25,0.4017857142857143,3.7053571428571432,1.6964285714285716,3.2142857142857144,6.517857142857143,2.232142857142857,3.616071428571429,4.330357142857143,1.8750000000000002,3.125,6.964285714285714,1.3839285714285716,2.7678571428571432,33.3,4.151785714285715
luke ayling,DF,Leeds United,1991,2272.0,25.2,0.08,0.08,0.06,0.06,0.03,15.8,0.029761904761904764,0.0047619047619047615,0.31746031746031744,3.928571428571429,4.9603174603174605,3.134920634920635,1.7857142857142858,2.0634920634920637,15.555555555555555,5.436507936507937,1.9444444444444444,2.142857142857143,2.6984126984126986,1.4285714285714286,0.9920634920634921,1.626984126984127,4.166666666666667,1.1904761904761905,0.7936507936507937,1.2698412698412698,1.1111111111111112,0.9523809523809524,10.436507936507937,1.9444444444444444,2.0238095238095237,49.0,3.9682539682539684
c̩sar azpilicueta,DF,Chelsea,1989,1980.0,22.0,0.05,0.09,0.05,0.05,0.1,30.8,0.026818181818181817,0.00818181818181818,0.8181818181818182,4.5,5.363636363636363,2.272727272727273,1.2272727272727273,1.0,15.772727272727273,4.5,2.772727272727273,1.5909090909090908,3.090909090909091,2.3636363636363638,0.6818181818181818,0.9090909090909091,6.681818181818182,1.6818181818181819,0.36363636363636365,2.4545454545454546,1.2727272727272727,0.36363636363636365,7.590909090909091,2.272727272727273,1.5,60.2,3.772727272727273
daniel bachmann,GK,Watford,1994,990.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,4.636363636363637,0.0,0.0,,0.0
leon bailey,"FW,MF",Aston Villa,1997,761.0,8.5,0.12,0.24,0.19,0.19,0.07,38.1,0.2917647058823529,0.11176470588235293,0.9411764705882353,0.47058823529411764,2.3529411764705883,2.235294117647059,1.411764705882353,1.0588235294117647,17.058823529411764,5.647058823529412,1.5294117647058822,0.35294117647058826,0.35294117647058826,4.117647058823529,1.6470588235294117,2.7058823529411766,6.823529411764706,1.2941176470588236,3.6470588235294117,6.588235294117647,1.5294117647058822,1.411764705882353,5.0588235294117645,1.0588235294117647,1.8823529411764706,36.0,2.9411764705882355
